image_id,latex_gt,latex_pred,correct_exact,render_success,inference_time_ms,error_type,note
spe_0020448.png,"\{ F , G \} =","\left[ F , G \right] =",0,1,872.7757930755615,bracket_mismatch,failed: bracket_mismatch
spe_0028917.png,"d f = - [ \theta , f ] ,","\left[ \! \! \left[ \begin{array} { l } { 1 } \end{array} \right] \! \! \right] = - \left[ \! \! \left[ \frac { 1 } { 2 } , \int \right] \! \! \! \right] .",0,0,3825.8309364318848,fraction_structure,failed: fraction_structure
spe_0031331.png,d F + \beta * F - F * \beta = 0 .,"\| F + \beta + F - F + \beta = 0 ,",0,1,1273.5238075256348,symbol_misrecognition,failed: symbol_misrecognition
spe_0031600.png,\bar { V } = V,\mathbf { F } = \mathbf { F },0,1,977.940559387207,bracket_mismatch,failed: bracket_mismatch
spe_0055988.png,"\alpha = \beta = 0 , \quad \gamma = 1 .","\alpha = \beta = 0 , \ \ \gamma = 1 ,",0,1,1281.5029621124268,symbol_misrecognition,failed: symbol_misrecognition
spe_0076260.png,K = - \beta H + { \bf v } { \bf P } .,K = - \beta H + \Psi \bar { \bf P } .,0,1,1309.8812103271484,bracket_mismatch,failed: bracket_mismatch
spe_0088793.png,"v ( \xi ) \approx - 1 + \kappa \xi ,","v ( \xi ) = - 1 + \kappa \xi ,",0,1,1242.0897483825684,other_structure_error,failed: other_structure_error
spe_0106668.png,"\langle \sigma \rangle = 0 \, .",| \sigma | = 0 .,0,1,868.2069778442383,other_structure_error,failed: other_structure_error
spe_0109582.png,"b ( L = 0 ) = 2 . 3 6 5 \, \sigma .","b ( L = 0 ) = 2 . 3 6 5 \, \sigma ,",1,1,1429.7785758972168,none,good
spe_0128450.png,G M > ( r e m p l a c e ),G M > ( \mathrm { r e m p i d e g } ),0,1,1180.4258823394775,bracket_mismatch,failed: bracket_mismatch
frac_0000035.png,"e ^ { A } = e ^ { A _ { 0 } } \left( t _ { 0 } - \mathrm { s i g n } ( m ) t \right) ^ { - \frac { m } { 2 } } \; , \; \; \; \; \chi = \chi _ { 0 } \left( t _ { 0 } - \mathrm { s i g n } ( m ) t \right) ^ { m } \; ,","l ^ { 1 } = l ^ { 1 } ( 1 ) ( \int \limits _ { 0 } ^ { 1 } \frac { 1 } { \sqrt { 1 0 } } ( \eta ) d \eta ) ^ { - \frac { \| } { 2 } } , \quad \gamma = \gamma ( 1 ) ( \int \limits _ { 0 } ^ { 1 } \frac { 1 } { \sqrt { 1 0 } } ( \eta ) d \eta ) ^ { \| }",0,0,6695.42932510376,sqrt_structure,failed: sqrt_structure
frac_0000102.png,"< \frac { 1 } { 2 } , m _ { s } | { \psi } _ { - } ^ { ( \frac { 1 } { 2 } ) } ( g ) > \equiv D _ { m _ { s } - \frac { 1 } { 2 } } ^ { ( \frac { 1 } { 2 } ) } ( g ) = < g , l + \frac { 1 } { 2 } | T _ { m _ { s } - } ^ { \frac { 1 } { 2 } } | g , l > .","< \frac { 1 } { 2 } , m _ { g } | \psi _ { = } ^ { ( \frac { 1 } { 2 } ) } ( g ) > \equiv D _ { m _ { g } = \frac { 1 } { 2 } } ^ { ( \frac { 1 } { 2 } ) } ( g ) = < g , l + \frac { 1 } { 2 } | T _ { m _ { g } = 1 } ^ { \frac { 1 } { 2 } } | g , l > .",0,1,7126.485347747803,bracket_mismatch,failed: bracket_mismatch
frac_0000144.png,\Delta { \cal A } = \frac { 1 } { 2 } ( 1 + g ) .,\Delta { \cal A } = \frac { 1 } { 2 } ( 1 + g ) .,1,1,1665.8570766448975,none,good
frac_0000155.png,"\frac 1 { \nabla ^ { 2 } } \, \delta _ { \Sigma } ^ { ( 2 ) } ( z - z _ { 0 } ) = - \frac 1 \pi \log { \cal E } ( z , z _ { 0 } )","\frac { 1 } { \nabla ^ { 2 } } \, \delta _ { \Sigma } ^ { ( 2 ) } ( z - z _ { 0 } ) = - \frac { 1 } { \pi } \, \mathrm { l o g } \, E ( z , z _ { 0 } )",0,1,4161.725282669067,bracket_mismatch,failed: bracket_mismatch
frac_0000302.png,\sigma _ { \pm } = \frac { \tau \pm \sigma } { 2 } \ .,\sigma _ { \pm } = \frac { \tau \pm \sigma } { 2 } \ .,1,1,1670.7310676574707,none,good
frac_0000317.png,"\stackrel { \mathrm { G } } { { \mathcal L } } \, : = \frac { 1 } { 2 m } \left[ ( D _ { \alpha } \overline { { { \Psi } } } ) D ^ { \alpha } \Psi - m ^ { 2 } \overline { { { \Psi } } } \Psi \right] \, .",\stackrel { \circ } { \mathcal { L } } : = { \frac { 1 } { 2 m } } \left[ ( D _ { \bar { \alpha } } \bar { \Psi } ) D ^ { \bar { \alpha } } \bar { \Psi } - m ^ { 2 } \overline { { { \Psi } } } \bar { \Psi } \right] \; .,0,0,5337.293386459351,bracket_mismatch,failed: bracket_mismatch
